S.N.,mun_id,reportedOn,cases,mun_en,Latitude_mun,Longitude_mun,dis_code,dis_en,Latitude_dist,Longitude_dist
1,1005,2020-06-03,3,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
2,1005,2020-06-04,1,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
3,1005,2020-06-25,3,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
4,1005,2020-07-01,1,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
5,1005,2020-07-05,2,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
6,1005,2020-07-06,1,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
7,1005,2020-07-15,1,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
8,1005,2020-07-22,3,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
9,1005,2020-08-12,1,Phaktanglung Rural Municipality,87.89713038573582,27.703009327937185,1,Taplejung,87.82179927135704,27.58212356597509
10,2006,2020-06-03,1,Phidim Municipality,87.7993810728232,27.116915423950594,2,Panchthar,87.77579807095165,27.114999613984395
11,2006,2020-06-08,1,Phidim Municipality,87.7993810728232,27.116915423950594,2,Panchthar,87.77579807095165,27.114999613984395
12,2006,2020-06-16,1,Phidim Municipality,87.7993810728232,27.116915423950594,2,Panchthar,87.77579807095165,27.114999613984395
13,2006,2020-06-27,1,Phidim Municipality,87.7993810728232,27.116915423950594,2,Panchthar,87.77579807095165,27.114999613984395
14,2006,2020-07-05,1,Phidim Municipality,87.7993810728232,27.116915423950594,2,Panchthar,87.77579807095165,27.114999613984395
15,2006,2020-07-10,2,Phidim Municipality,87.7993810728232,27.116915423950594,2,Panchthar,87.77579807095165,27.114999613984395
16,2006,2020-08-11,1,Phidim Municipality,87.7993810728232,27.116915423950594,2,Panchthar,87.77579807095165,27.114999613984395
17,3004,2020-06-09,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
18,3004,2020-06-12,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
19,3004,2020-06-25,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
20,3004,2020-06-27,5,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
21,3004,2020-06-28,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
22,3004,2020-07-01,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
23,3004,2020-07-04,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
24,3004,2020-07-05,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
25,3004,2020-07-08,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
26,3004,2020-07-10,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
27,3004,2020-07-14,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
28,3004,2020-07-16,6,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
29,3004,2020-07-18,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
30,3004,2020-07-20,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
31,3004,2020-07-21,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
32,3004,2020-07-26,8,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
33,3004,2020-07-28,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
34,3004,2020-08-01,22,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
35,3004,2020-08-04,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
36,3004,2020-08-05,2,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
37,3004,2020-08-06,15,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
38,3004,2020-08-11,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
39,3004,2020-08-12,1,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
40,3004,2020-08-13,4,Illam Municipality,87.90870574329287,26.93135717338353,3,Ilam,87.90156852180151,26.881160914669856
41,4001,2020-05-29,3,Arjundhara Municipality,87.98432673450942,26.704597483302194,4,Jhapa,87.91323301163462,26.58454270753889
42,4002,2020-05-19,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
43,4002,2020-05-21,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
44,4002,2020-06-01,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
45,4002,2020-06-03,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
46,4002,2020-06-04,5,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
47,4002,2020-06-05,12,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
48,4002,2020-06-08,9,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
49,4002,2020-06-10,5,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
50,4002,2020-06-11,3,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
51,4002,2020-06-12,13,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
52,4002,2020-06-13,5,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
53,4002,2020-06-14,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
54,4002,2020-06-15,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
55,4002,2020-06-16,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
56,4002,2020-06-17,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
57,4002,2020-06-18,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
58,4002,2020-06-19,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
59,4002,2020-06-20,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
60,4002,2020-06-21,6,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
61,4002,2020-06-22,3,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
62,4002,2020-06-23,12,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
63,4002,2020-06-24,11,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
64,4002,2020-06-25,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
65,4002,2020-06-26,4,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
66,4002,2020-06-28,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
67,4002,2020-06-30,5,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
68,4002,2020-07-01,21,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
69,4002,2020-07-02,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
70,4002,2020-07-04,5,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
71,4002,2020-07-05,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
72,4002,2020-07-06,5,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
73,4002,2020-07-07,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
74,4002,2020-07-08,8,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
75,4002,2020-07-09,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
76,4002,2020-07-11,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
77,4002,2020-07-12,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
78,4002,2020-07-13,4,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
79,4002,2020-07-14,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
80,4002,2020-07-16,4,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
81,4002,2020-07-17,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
82,4002,2020-07-18,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
83,4002,2020-07-20,3,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
84,4002,2020-07-21,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
85,4002,2020-07-22,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
86,4002,2020-07-23,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
87,4002,2020-07-24,25,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
88,4002,2020-07-25,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
89,4002,2020-07-26,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
90,4002,2020-07-28,3,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
91,4002,2020-07-30,4,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
92,4002,2020-07-31,13,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
93,4002,2020-08-01,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
94,4002,2020-08-03,5,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
95,4002,2020-08-04,8,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
96,4002,2020-08-06,8,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
97,4002,2020-08-07,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
98,4002,2020-08-09,4,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
99,4002,2020-08-10,1,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
100,4002,2020-08-11,10,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
101,4002,2020-08-12,10,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
102,4002,2020-08-13,2,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
103,4002,2020-08-14,9,Barhadashi Rural Municipality,87.92856764427331,26.53454699029711,4,Jhapa,87.91323301163462,26.58454270753889
104,4013,2020-04-24,1,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
105,4013,2020-04-26,1,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
106,4013,2020-05-18,1,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
107,4013,2020-05-19,5,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
108,4013,2020-05-21,22,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
109,4013,2020-05-27,13,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
110,4013,2020-05-28,21,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
111,4013,2020-05-29,24,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
112,4013,2020-05-30,1,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
113,4013,2020-05-31,4,Kankai Municipality,87.9055978966974,26.640525388698048,4,Jhapa,87.91323301163462,26.58454270753889
114,4015,2020-05-19,3,Shivasataxi Municipality,87.8207531419584,26.612160675735968,4,Jhapa,87.91323301163462,26.58454270753889
115,4015,2020-05-23,1,Shivasataxi Municipality,87.8207531419584,26.612160675735968,4,Jhapa,87.91323301163462,26.58454270753889
116,4015,2020-05-27,4,Shivasataxi Municipality,87.8207531419584,26.612160675735968,4,Jhapa,87.91323301163462,26.58454270753889
117,4015,2020-05-28,4,Shivasataxi Municipality,87.8207531419584,26.612160675735968,4,Jhapa,87.91323301163462,26.58454270753889
118,4015,2020-05-29,1,Shivasataxi Municipality,87.8207531419584,26.612160675735968,4,Jhapa,87.91323301163462,26.58454270753889
119,5001,2020-05-18,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
120,5001,2020-05-19,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
121,5001,2020-05-24,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
122,5001,2020-05-31,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
123,5001,2020-06-03,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
124,5001,2020-06-04,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
125,5001,2020-06-05,6,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
126,5001,2020-06-06,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
127,5001,2020-06-08,9,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
128,5001,2020-06-09,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
129,5001,2020-06-10,8,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
130,5001,2020-06-12,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
131,5001,2020-06-13,4,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
132,5001,2020-06-14,25,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
133,5001,2020-06-15,22,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
134,5001,2020-06-16,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
135,5001,2020-06-17,9,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
136,5001,2020-06-18,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
137,5001,2020-06-19,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
138,5001,2020-06-20,8,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
139,5001,2020-06-21,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
140,5001,2020-06-22,12,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
141,5001,2020-06-23,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
142,5001,2020-06-24,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
143,5001,2020-06-25,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
144,5001,2020-06-26,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
145,5001,2020-06-27,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
146,5001,2020-06-28,17,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
147,5001,2020-06-29,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
148,5001,2020-07-01,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
149,5001,2020-07-02,6,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
150,5001,2020-07-03,19,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
151,5001,2020-07-04,6,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
152,5001,2020-07-05,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
153,5001,2020-07-07,6,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
154,5001,2020-07-08,4,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
155,5001,2020-07-11,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
156,5001,2020-07-12,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
157,5001,2020-07-13,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
158,5001,2020-07-15,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
159,5001,2020-07-16,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
160,5001,2020-07-17,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
161,5001,2020-07-18,9,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
162,5001,2020-07-19,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
163,5001,2020-07-20,1,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
164,5001,2020-07-21,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
165,5001,2020-07-22,3,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
166,5001,2020-07-23,8,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
167,5001,2020-07-24,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
168,5001,2020-07-26,26,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
169,5001,2020-07-28,17,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
170,5001,2020-07-29,8,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
171,5001,2020-07-30,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
172,5001,2020-07-31,15,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
173,5001,2020-08-01,2,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
174,5001,2020-08-02,16,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
175,5001,2020-08-03,46,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
176,5001,2020-08-04,23,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
177,5001,2020-08-05,14,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
178,5001,2020-08-06,24,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
179,5001,2020-08-07,64,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
180,5001,2020-08-08,49,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
181,5001,2020-08-09,28,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
182,5001,2020-08-10,15,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
183,5001,2020-08-11,42,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
184,5001,2020-08-12,48,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
185,5001,2020-08-13,88,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
186,5001,2020-08-14,63,Belbari Municipality,87.43951603810595,26.62969614600504,5,Morang,87.47019221726812,26.617486100455462
187,5002,2020-05-17,2,Biratnagar Metropolitan City,87.27721567619342,26.449432670637346,5,Morang,87.47019221726812,26.617486100455462
188,5002,2020-05-22,1,Biratnagar Metropolitan City,87.27721567619342,26.449432670637346,5,Morang,87.47019221726812,26.617486100455462
189,6009,2020-05-18,1,Inaruwa Municipality,87.16242541190489,26.607115889285442,6,Sunsari,87.17004295990401,26.65061352129045
190,6009,2020-05-21,1,Inaruwa Municipality,87.16242541190489,26.607115889285442,6,Sunsari,87.17004295990401,26.65061352129045
191,6010,2020-05-19,1,Itahari Submetropolitan City,87.265018064324,26.672764169681074,6,Sunsari,87.17004295990401,26.65061352129045
192,6012,2020-06-02,1,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
193,6012,2020-06-03,7,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
194,6012,2020-06-05,21,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
195,6012,2020-06-06,5,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
196,6012,2020-06-08,1,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
197,6012,2020-06-09,1,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
198,6012,2020-06-11,3,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
199,6012,2020-06-12,10,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
200,6012,2020-06-14,1,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
201,6012,2020-06-15,3,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
202,6012,2020-06-16,2,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
203,6012,2020-06-20,2,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
204,6012,2020-06-21,2,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
205,6012,2020-06-23,3,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
206,6012,2020-06-24,1,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
207,6012,2020-06-25,6,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
208,6012,2020-06-26,10,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
209,6012,2020-06-28,1,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
210,6012,2020-06-30,2,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
211,6012,2020-07-01,1,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
212,6012,2020-07-02,4,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
213,6012,2020-07-03,19,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
214,6012,2020-07-06,2,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
215,6012,2020-07-07,3,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
216,6012,2020-07-08,3,Ramdhuni Municipality,87.18064139435656,26.68763432925855,6,Sunsari,87.17004295990401,26.65061352129045
